Code;Synonym;Kind of Quantity;ConceptID
%;%;Most Common Healthcare Units;Percent
/uL;/uL;Most Common Healthcare Units;PerMicroLiter
[iU]/L;IU/L;Most Common Healthcare Units;InternationalUnitsPerLiter
10*3/uL;K/uL, x10^3/mm^3;Most Common Healthcare Units;ThousandsPerMicroLiter
10*6/uL;M/uL, x10^6/mm^3;Most Common Healthcare Units;MillionsPerMicroLiter
fL;fL;Most Common Healthcare Units;FemtoLiter
g/dL;g/dL;Most Common Healthcare Units;GramsPerDeciLiter
g/L;g/L;Most Common Healthcare Units;GramsPerLiter
g/mL;g/mL;Most Common Healthcare Units;GramsPerMilliLiter
kPa;kPa;Most Common Healthcare Units;KiloPascal
m[iU]/mL;mIU/mL;Most Common Healthcare Units;MilliInternationalUnitsPerMilliLiter
meq/L;mEq/L;Most Common Healthcare Units;MilliEquivalentsPerLiter
mg/dL;mg/dL;Most Common Healthcare Units;MilliGramsPerDeciLiter
mm[Hg];mm Hg;Most Common Healthcare Units;MilliMetersOfMercury
mmol/kg;mmol/kg;Most Common Healthcare Units;MilliMolesPerKiloGram
mmol/L;mmol/L;Most Common Healthcare Units;MilliMolesPerLiter
mosm/kg;mOsm/kg;Most Common Healthcare Units;MilliOsmolesPerKiloGram
ng/mL;ng/mL;Most Common Healthcare Units;NanoGramsPerMilliLiter
nmol/L;nmol/L;Most Common Healthcare Units;NanoMolesPerLiter
pg;pg;Most Common Healthcare Units;PicoGrams
pg/mL;pg/mL;Most Common Healthcare Units;PicoGramsPerMilliLiter
pmol/L;pmol/L;Most Common Healthcare Units;PicoMolesPerLiter
U/L;U/L;Most Common Healthcare Units;UnitsPerLiter
u[iU]/mL;uIU/mL;Most Common Healthcare Units;MicroInternationalUnitsPerMilliLiter
ug/dL;ug/dL;Most Common Healthcare Units;MicroGramsPerDeciLiter
ug/L;ug/L;Most Common Healthcare Units;MicroGramsPerLiter
ug/mL;ug/mL;Most Common Healthcare Units;MicroGramsPerMilliLiter
umol/L;umol/L;Most Common Healthcare Units;MicroMolesPerLiter
[lg];log 10;Unity;Log10
10*6/{Specimen};x10^6/spec;Unity;MillionPerSpecimen
/{tot};/Total;Unity;PerTotalCount
10*3;x10^3;Unity;Thousand
10*3.{RBC};x10^3 RBCs;Unity;ThousandRedBloodCells
10*5;x10^5;Unity;OneHundredThousand
10*6;x10^6;Unity;Million
10*8;x10^8;Unity;TenToEighth
%;%;General Fraction Unit;Percent
{Relative}%;Relative %;General Fraction Unit;RelativePercent
%{Total};% of Total;General Fraction Unit;PercentTotal
%{0to3Hours};% 0-3 h;General Fraction Unit;Percent0to3Hours
/10*10;/10^10;Number Fraction Units;PerTenGiga
/10*6;/10^6;Number Fraction Units;PerMillion
/10*9;/10^9;Number Fraction Units;PerBillion
/10*12;/10^12;Number Fraction Units;PerTrillion
%{Normal};% Normal;Number Fraction Units;PercentNormal
%{SpermMotility};% Sperm Motility;Number Fraction Units;PercentSpermMotility
%{Positive};% Positive;Number Fraction Units;PercentPositive
%{FetalErythrocytes};% Fetal RBC;Number Fraction Units;PercentFetalErythrocytes
%{OfLymphocytes};% Lymphs;Number Fraction Units;PercentOfLymphocytes
%{ofBacteria};% Bacteria;Number Fraction Units;PercentofBacteria
%{OfWBCs};% WBCs;Number Fraction Units;PercentOfWBCs
%{Abnormal};% Abnormal;Number Fraction Units;PercentAbnormal
%{EosSeen};% EOS Seen;Number Fraction Units;PercentEosinophilsSeen
%{Hemolysis};% Hemolysis;Number Fraction Units;PercentHemolysis
%{Blockade};% Blockade;Number Fraction Units;PercentBlockade
%/100{WBC};% per 100 WBC;Number Fraction Units;PercentPer100WBC
%{Binding};% Binding;Mass Or Substance Fraction Units;PercentBinding
%{TotalProtein};% Total Protein;Mass Or Substance Fraction Units;PercentTotalProtein
%{Bound};% Bound;Mass Or Substance Fraction Units;PercentBound
%{Hemoglobin};% Hgb;Mass Or Substance Fraction Units;PercentHemoglobin
%{HemoglobinSaturation};% Hgb SAT;Mass Or Substance Fraction Units;PercentHemoglobinSaturation
%{Carboxyhemoglobin};% CO Hgb;Mass Or Substance Fraction Units;PercentCarboxyhemoglobin
%{HemoglobinA1C};% Hgb A1C;Mass Or Substance Fraction Units;PercentHemoglobinA1C
%{Excretion};% Excretion;Mass Or Substance Rate Fraction Units;PercentExcretion
%{Uptake};% Uptake;Mass Or Substance Rate Fraction Units;PercentUptake
ug/ng;ug/ng;Mass Ratio Or Mass Fraction Or Mass Content Units;MicroGramsPerNanoGram
ng/mg;ng/mg;Mass Ratio Or Mass Fraction Or Mass Content Units;NanoGramsPerMilliGram
ng/mg{Protein};ng/mg Prot;Mass Ratio Or Mass Fraction Or Mass Content Units;NanoGramsPerMilliGramProtein
ug/mg;ug/mg;Mass Ratio Or Mass Fraction Or Mass Content Units;MicroGramsPerMilliGram
ug/mg{Cre};ug/mg Cre;Mass Ratio Or Mass Fraction Or Mass Content Units;MicroGramsPerMilliGramCreatinine
mg/mg;mg/mg;Mass Ratio Or Mass Fraction Or Mass Content Units;MilliGramsPerMilliGram
mg/mg{Cre};mg/mg Cre;Mass Ratio Or Mass Fraction Or Mass Content Units;MilligramsPerMilligramCreatinine
ng/g;ng/g;Mass Ratio Or Mass Fraction Or Mass Content Units;NanoGramsPerGram
ng/g{Cre};ng/g Cre;Mass Ratio Or Mass Fraction Or Mass Content Units;NanoGramsPerGramCreatinine
ug/g;ug/g;Mass Ratio Or Mass Fraction Or Mass Content Units;MicroGramsPerGram
ug/[100]g;ug/100 g;Mass Ratio Or Mass Fraction Or Mass Content Units;MicroGramPer100Gram
ug/g{DryWeight};ug/g Dry Weight;Mass Ratio Or Mass Fraction Or Mass Content Units;MicroGramPerGramDryWeight
ug/g{Cre};ug/g Cre;Mass Ratio Or Mass Fraction Or Mass Content Units;MicroGramPerGramCreatinine
ug/g{Hgb};ug/g Hgb;Mass Ratio Or Mass Fraction Or Mass Content Units;MicroGramsPerGramHemoglobin
mg/g;mg/g;Mass Ratio Or Mass Fraction Or Mass Content Units;MilliGramsPerGram
mg/g{Cre};mg/g Cre;Mass Ratio Or Mass Fraction Or Mass Content Units;MilliGramPerGramCreatinine
g/g;g/g;Mass Ratio Or Mass Fraction Or Mass Content Units;GramsPerGram
ng/kg;ng/kg;Mass Ratio Or Mass Fraction Or Mass Content Units;NanoGramsPerKiloGram
ug/kg;ug/kg;Mass Ratio Or Mass Fraction Or Mass Content Units;MicroGramsPerKiloGram
mg/kg;mg/kg;Mass Ratio Or Mass Fraction Or Mass Content Units;MilliGramsPerKiloGram
g/kg;g/kg;Mass Ratio Or Mass Fraction Or Mass Content Units;GramsPerKiloGram
g/[100]g;g/100g;Mass Ratio Or Mass Fraction Or Mass Content Units;GramsPer100Gram
g/g{Cre};g/g Cre;Mass Ratio Or Mass Fraction Or Mass Content Units;GramsPerGramCreatinine
pmol/umol;pmol/umol;Substance Ratio Or Substance Fraction Units;PicoMolesPerMicroMole
nmol/mmol;nmol/mmol;Substance Ratio Or Substance Fraction Units;NanoMolesPerMilliMole
nmol/mmol{Cre};nmol/mmol Cre;Substance Ratio Or Substance Fraction Units;NanoMolesPerMilliMoleCreatinine
nmol/mol;nmol/mol;Substance Ratio Or Substance Fraction Units;NanoMolesPerMole
umol/mol;umol/mol;Substance Ratio Or Substance Fraction Units;MicroMolesPerMole
mmol/mol;mmol/mol;Substance Ratio Or Substance Fraction Units;MilliMolesPerMole
mmol/mol{Cre};mmol/mol Cre;Substance Ratio Or Substance Fraction Units;MilliMolesPerMoleCreatinine
umol/mol{Cre};umol/mol Cre;Substance Ratio Or Substance Fraction Units;MicroMolesPerMoleCreatinine
eq/umol;eq/umol;Substance Ratio Or Substance Fraction Units;EquivalentsPerMicroMole
eq/mmol;eq/mmol;Substance Ratio Or Substance Fraction Units;EquivalentsPerMilliMole
{BoneCollagen}eq/mmol{Cre};BCE/mmol Cre;Substance Ratio Or Substance Fraction Units;BoneCollagenEquivalentsPerMilliMoleCreatinine
{BoneCollagen}eq/umol{Cre};BCE/umol Cre;Substance Ratio Or Substance Fraction Units;BoneCollagenEquivalentsPerMicroMoleCreatinine
%{vol};Volume %;Volume Fraction Units;VolumePercent
%{Oxygen};% Oxygen;Volume Fraction Units;PercentOxygen
mL/dL;cc/dL;Volume Fraction Units;MilliLitersPerDeciLiter
%{NormalPooledPlasma};% Normal Pooled Plasma;Catalytic Fraction Or Arbitrary Fraction Units;PercentNormalPooledPlasma
%{Activity};% Activity;Catalytic Fraction Or Arbitrary Fraction Units;PercentActivity
%{BasalActivity};% Basal Activity;Catalytic Fraction Or Arbitrary Fraction Units;PercentBasalActivity
%{Inhibition};% Inhibition;Catalytic Fraction Or Arbitrary Fraction Units;PercentInhibition
/{Entity};/Entity;Entitic Number Units;PerEntity
/100{WBC};/100 WBCs;Entitic Number Units;Per100WBC
/100;/100;Entitic Number Units;Per100
/100{Spermatozoa};/100 Sperm;Entitic Number Units;Per100Spermatozoa
/10*12{rbc};/10^12 RBCs;Entitic Number Units;PerTrillionRedBloodCells
deg;Deg;Plane Angle Units;DegreesOfArc
/[arb`U];/Arbitrary Unit;Arbitrary Number Units;PerArbitraryUnit
u[iU];uIU;Arbitrary Units;MicroInternationalUnit
[iU];IU;Arbitrary Units;InternationalUnit
10*6.[iU];10^6  IU;Arbitrary Units;MillionInternationalUnit
[in_i];in;English Length Units;Inch
[ft_i];ft;English Length Units;Feet
[yd_i];yd;English Length Units;Yard
[fth_i];fathom;English Length Units;Fathom
[mi_i];mi;English Length Units;StatuteMile
[nmi_i];n mile;English Length Units;NauticalMile
[Ch];French Unit;English Length Units;French
fm;fm;SI Length Units;FemtoMeter
pm;pm;SI Length Units;PicoMeter
nm;nm;SI Length Units;NanoMeter
um;um;SI Length Units;MicroMeter
mm;mm;SI Length Units;MilliMeter
cm;cm;SI Length Units;CentiMeter
dm;dm;SI Length Units;DeciMeter
m;m;SI Length Units;Meter
km;km;SI Length Units;KiloMeter
[gr];gr;English Mass Units;Grain
[oz_av];oz;English Mass Units;Ounce
[oz_tr];tr oz;English Mass Units;TroyOunce
[lb_av];lb;English Mass Units;Pound
[ston_av];Ton;English Mass Units;Ton
[dr_av];dr;English Mass Units;Dram
fg;fg;SI Mass Units;FemtoGram
pg;pg;SI Mass Units;PicoGram
ng;ng;SI Mass Units;NanoGram
ug;ug;SI Mass Units;MicroGram
ug/{TotalVolume};ug/Total Volume;SI Mass Units;MicroGramsPerTotalVolume
ug/{Specimen};ug/Spec;SI Mass Units;MicroGramsPerSpecimen
mg;mg;SI Mass Units;MilliGram
